0.000,"Info","2023-09-22 11:21:48","Service 'ymaze_inLT' : Execution start"
0.000,"Info","Subject Identification","3"
0.000,"Info","Apparatus","139"
0.000,"Info","Unit ID","3A843F"
"TIME","","","ARENA","ACTION","ZONE"
30.963,"Info","Arena",1,"Enter_Zone",1
30.963,"Info","Arena",2,"Enter_Zone",1
30.963,"Info","Arena",3,"Enter_Zone",1
30.963,"Info","Arena",4,"Enter_Zone",3
30.963,"Info","Arena",5,"Enter_Zone",3
30.963,"Info","Arena",6,"Enter_Zone",3
30.963,"Info","Arena",7,"Enter_Zone",3
30.963,"Info","Arena",8,"Enter_Zone",4
31.163,"Info","Arena",1,"Exit_Zone",1
31.163,"Info","Arena",1,"Enter_Zone",4
31.529,"Info","Arena",3,"Exit_Zone",1
31.529,"Info","Arena",3,"Enter_Zone",4
31.729,"Info","Arena",1,"Exit_Zone",4
31.729,"Info","Arena",1,"Enter_Zone",3
31.863,"Info","Arena",2,"Exit_Zone",1
31.863,"Info","Arena",2,"Enter_Zone",4
32.329,"Info","Arena",3,"Exit_Zone",4
32.329,"Info","Arena",3,"Enter_Zone",2
32.496,"Info","Arena",2,"Exit_Zone",4
32.496,"Info","Arena",2,"Enter_Zone",2
32.862,"Info","Arena",7,"Exit_Zone",3
32.862,"Info","Arena",7,"Enter_Zone",4
33.696,"Info","Arena",7,"Exit_Zone",4
33.696,"Info","Arena",7,"Enter_Zone",1
33.929,"Info","Arena",5,"Exit_Zone",3
33.929,"Info","Arena",5,"Enter_Zone",4
33.996,"Info","Arena",1,"Exit_Zone",3
33.996,"Info","Arena",1,"Enter_Zone",4
34.129,"Info","Arena",1,"Exit_Zone",4
34.129,"Info","Arena",1,"Enter_Zone",1
34.862,"Info","Arena",5,"Exit_Zone",4
34.862,"Info","Arena",5,"Enter_Zone",2
35.562,"Info","Arena",2,"Exit_Zone",2
35.562,"Info","Arena",2,"Enter_Zone",4
35.662,"Info","Arena",2,"Exit_Zone",4
35.662,"Info","Arena",2,"Enter_Zone",3
35.796,"Info","Arena",5,"Exit_Zone",2
35.796,"Info","Arena",5,"Enter_Zone",4
35.896,"Info","Arena",6,"Exit_Zone",3
35.896,"Info","Arena",6,"Enter_Zone",4
35.962,"Info","Arena",5,"Exit_Zone",4
35.962,"Info","Arena",5,"Enter_Zone",1
36.529,"Info","Arena",6,"Exit_Zone",4
36.529,"Info","Arena",6,"Enter_Zone",2
37.162,"Info","Arena",3,"Exit_Zone",2
37.162,"Info","Arena",3,"Enter_Zone",4
37.429,"Info","Arena",4,"Exit_Zone",3
37.429,"Info","Arena",4,"Enter_Zone",4
37.662,"Info","Arena",3,"Exit_Zone",4
37.662,"Info","Arena",3,"Enter_Zone",3
37.695,"Info","Arena",4,"Exit_Zone",4
37.695,"Info","Arena",4,"Enter_Zone",2
38.462,"Info","Arena",1,"Exit_Zone",1
38.462,"Info","Arena",1,"Enter_Zone",4
38.829,"Info","Arena",1,"Exit_Zone",4
38.829,"Info","Arena",1,"Enter_Zone",3
40.262,"Info","Arena",7,"Exit_Zone",1
40.262,"Info","Arena",7,"Enter_Zone",4
40.562,"Info","Arena",7,"Exit_Zone",4
40.562,"Info","Arena",7,"Enter_Zone",3
40.828,"Info","Arena",3,"Exit_Zone",3
40.828,"Info","Arena",3,"Enter_Zone",4
41.495,"Info","Arena",3,"Exit_Zone",4
41.495,"Info","Arena",3,"Enter_Zone",2
42.695,"Info","Arena",2,"Exit_Zone",3
42.695,"Info","Arena",2,"Enter_Zone",4
43.028,"Info","Arena",5,"Exit_Zone",1
43.028,"Info","Arena",5,"Enter_Zone",2
